
---------- Begin Simulation Statistics ----------
simSeconds                                   0.028129                       # Number of seconds simulated (Second)
simTicks                                  28128940000                       # Number of ticks simulated (Tick)
finalTick                                 28128940000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     84.78                       # Real time elapsed on the host (Second)
hostTickRate                                331801441                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     691376                       # Number of bytes of host memory used (Byte)
simInsts                                     13529213                       # Number of instructions simulated (Count)
simOps                                       26167842                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   159587                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     308669                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         28128941                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               2.079126                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.480971                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        44045688                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  2026949                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       37587510                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    137                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             19904789                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          38360469                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved             1033619                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            28111858                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.337070                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.837348                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  13356329     47.51%     47.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   6226747     22.15%     69.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2922167     10.39%     80.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1480733      5.27%     85.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1887728      6.72%     92.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    719341      2.56%     94.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    941818      3.35%     97.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    340255      1.21%     99.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    236740      0.84%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              28111858                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  285251     25.63%     25.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     25.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     25.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     25.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     25.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     25.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     25.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     25.63% # attempts to use FU when none available (Count)
